  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -3    2    0       9    2    0       1    1     10.24793786877351  -0.00914233556601
  -3   -5   -3       9    7    9       1    1     10.24793786877351  -0.00909721874942
  -3   -4    0       9    8    0       1    1     10.24793786877351  -0.15025372559342
  -3   -3    1       9    9    1       1    1     10.24793786877351  -0.15025372559341
  -3   -3   -5       9    9    7       1    1     10.24793786877351  -0.00914233556601
  -2    0    3      10    0    3       1    1     10.24793786877351  -0.00909721874942
  -2    3    0      10    3    0       1    1     10.24793786877351  -0.00914233556602
  -2   -5   -2      10    7   10       1    1     10.24793786877351  -0.00906869518043
  -2   -2   -5      10   10    7       1    1     10.24793786877351  -0.00914233556602
  -1    3    3      11    3    3       1    1     10.24793786877351  -0.15037724106120
  -1   -4   -4      11    8    8       1    1     10.24793786877351  -0.15035486609887
   1    3   -2       1    3   10       1    1     10.34792011804039   0.01515962669752
   1   -2    3       1   10    3       1    1     10.34792011804039   0.01509513771771
   2    3    5       2    3    5       1    1     10.34792011804039   0.01512568855066
   2    5    3       2    5    3       1    1     10.34792011804039   0.01509513771771
   2   -3   -1       2    9   11       1    1     10.34792011804039   0.01514254250095
   2   -1   -3       2   11    9       1    1     10.34792011804039   0.01509513771771
   3    1   -2       3    1   10       1    1     10.34792011804039   0.01515962669752
   3    2    5       3    2    5       1    1     10.34792011804039   0.01514254250095
   3    5    2       3    5    2       1    1     10.34792011804039   0.01515962669752
