  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -2    0   -3       8    0    7       1    1     21.58240136006249  -0.00000062758707
   2    4    1       2    4    1       1    1     21.58240255960279  -0.00000070609283
   2    4   -1       2    4    9       1    1     21.58240255960279  -0.00000070524021
   4    2    1       4    2    1       1    1     21.58240255960279  -0.00000069306807
   4    2   -1       4    2    9       1    1     21.58240255960279  -0.00000069241526
  -4   -2    1       6    8    1       1    1     21.58240255960279  -0.00000069241526
  -4   -2   -1       6    8    9       1    1     21.58240255960279  -0.00000069306807
  -2   -4    1       8    6    1       1    1     21.58240255960279  -0.00000070524021
  -2   -4   -1       8    6    9       1    1     21.58240255960279  -0.00000070609283
   2    3    3       2    3    3       1    1     22.07600746939540  -0.00000523484234
   2    3   -3       2    3    7       1    1     22.07600746939540  -0.00000411274727
   3    2    3       3    2    3       1    1     22.07600746939540  -0.00000497156006
   3    2   -3       3    2    7       1    1     22.07600746939540  -0.00000385976903
  -3   -2    3       7    8    3       1    1     22.07600746939540  -0.00000385976903
  -3   -2   -3       7    8    7       1    1     22.07600746939540  -0.00000497156006
  -2   -3    3       8    7    3       1    1     22.07600746939540  -0.00000411274727
  -2   -3   -3       8    7    7       1    1     22.07600746939540  -0.00000523484234
   0    3    1       0    3    1       1    1     22.09216494019868  -0.00000049002430
   0    3   -1       0    3    9       1    1     22.09216494019868  -0.00000048990733
   0   -3    1       0    7    1       1    1     22.09216494019868  -0.00000048990733
   0   -3   -1       0    7    9       1    1     22.09216494019868  -0.00000049002430
   3    0    1       3    0    1       1    1     22.09216494019868  -0.00000040511155
   3    0   -1       3    0    9       1    1     22.09216494019868  -0.00000040505554
  -3    0    1       7    0    1       1    1     22.09216494019868  -0.00000040505554
  -3    0   -1       7    0    9       1    1     22.09216494019868  -0.00000040511155
   1    1    4       1    1    4       1    1     22.23810722439701   0.00000078967592
   1    1   -4       1    1    6       1    1     22.23810722439701   0.00000086825752
  -1   -1    4       9    9    4       1    1     22.23810722439701   0.00000086825752
  -1   -1   -4       9    9    6       1    1     22.23810722439701   0.00000078967592
   4    4    1       4    4    1       1    1     22.23810940721763   0.00000113086523
   4    4   -1       4    4    9       1    1     22.23810940721763   0.00000123651569
  -4   -4    1       6    6    1       1    1     22.23810940721763   0.00000123651569
  -4   -4   -1       6    6    9       1    1     22.23810940721763   0.00000113086523
   0    1    4       0    1    4       1    1     22.72532216129978  -0.00000006026622
   0    1   -4       0    1    6       1    1     22.72532216129978  -0.00000005958882
   0   -1    4       0    9    4       1    1     22.72532216129978  -0.00000005958882
   0   -1   -4       0    9    6       1    1     22.72532216129978  -0.00000006026622
   1    0    4       1    0    4       1    1     22.72532216129978  -0.00000005908463
   1    0   -4       1    0    6       1    1     22.72532216129978  -0.00000005806623
  -1    0    4       9    0    4       1    1     22.72532216129978  -0.00000005806623
  -1    0   -4       9    0    6       1    1     22.72532216129978  -0.00000005908463
   3    4    2       3    4    2       1    1     22.72532387011778  -0.00000001891406
   3    4   -2       3    4    8       1    1     22.72532387011778  -0.00000003916209
   4    3    2       4    3    2       1    1     22.72532387011778  -0.00000002069288
   4    3   -2       4    3    8       1    1     22.72532387011778  -0.00000003978381
  -4   -3    2       6    7    2       1    1     22.72532387011778  -0.00000003978381
  -4   -3   -2       6    7    8       1    1     22.72532387011778  -0.00000002069288
  -3   -4    2       7    6    2       1    1     22.72532387011778  -0.00000003916209
  -3   -4   -2       7    6    8       1    1     22.72532387011778  -0.00000001891406
   1   -2    2       1    8    2       1    1     22.74101886855480  -0.00000004905691
   1   -2   -2       1    8    8       1    1     22.74101886855480  -0.00000004994989
   2   -1    2       2    9    2       1    1     22.74101886855480  -0.00000004616761
   2   -1   -2       2    9    8       1    1     22.74101886855480  -0.00000004512279
  -2    1    2       8    1    2       1    1     22.74101886855480  -0.00000004512279
  -2    1   -2       8    1    8       1    1     22.74101886855480  -0.00000004616761
  -1    2    2       9    2    2       1    1     22.74101886855480  -0.00000004994989
  -1    2   -2       9    2    8       1    1     22.74101886855480  -0.00000004905691
   3    3    3       3    3    3       1    1     22.88282467444092  -0.00032035121653
   3    3   -3       3    3    7       1    1     22.88282467444092  -0.00028354797293
  -3   -3    3       7    7    3       1    1     22.88282467444092  -0.00028354797293
  -3   -3   -3       7    7    7       1    1     22.88282467444092  -0.00032035121653
   1    3    3       1    3    3       1    1     23.51745456085872  -0.00000005368817
   1    3   -3       1    3    7       1    1     23.51745456085872  -0.00000007664363
   3    1    3       3    1    3       1    1     23.51745456085872  -0.00000038817778
   3    1   -3       3    1    7       1    1     23.51745456085872  -0.00000041139754
  -3   -1    3       7    9    3       1    1     23.51745456085872  -0.00000041139754
  -3   -1   -3       7    9    7       1    1     23.51745456085872  -0.00000038817778
  -1   -3    3       9    7    3       1    1     23.51745456085872  -0.00000007664363
  -1   -3   -3       9    7    7       1    1     23.51745456085872  -0.00000005368817
   2    4    2       2    4    2       1    1     23.51745524888388  -0.00000007874157
   2    4   -2       2    4    8       1    1     23.51745524888388  -0.00000010284307
   4    2    2       4    2    2       1    1     23.51745524888388  -0.00000009559884
   4    2   -2       4    2    8       1    1     23.51745524888388  -0.00000011692058
  -4   -2    2       6    8    2       1    1     23.51745524888388  -0.00000011692058
  -4   -2   -2       6    8    8       1    1     23.51745524888388  -0.00000009559884
  -2   -4    2       8    6    2       1    1     23.51745524888388  -0.00000010284307
  -2   -4   -2       8    6    8       1    1     23.51745524888388  -0.00000007874157
   1    2    4       1    2    4       1    1     23.97124696461049   0.00000010537752
   1    2   -4       1    2    6       1    1     23.97124696461049   0.00000008368035
   2    1    4       2    1    4       1    1     23.97124696461049   0.00000012497005
   2    1   -4       2    1    6       1    1     23.97124696461049   0.00000010084285
  -2   -1    4       8    9    4       1    1     23.97124696461049   0.00000010084285
  -2   -1   -4       8    9    6       1    1     23.97124696461049   0.00000012497005
  -1   -2    4       9    8    4       1    1     23.97124696461049   0.00000008368035
  -1   -2   -4       9    8    6       1    1     23.97124696461049   0.00000010537752
   0    3    2       0    3    2       1    1     23.98612834292876  -0.00000007566240
   0    3   -2       0    3    8       1    1     23.98612834292876  -0.00000007814745
   0   -3    2       0    7    2       1    1     23.98612834292876  -0.00000007814745
   0   -3   -2       0    7    8       1    1     23.98612834292876  -0.00000007566240
   3    0    2       3    0    2       1    1     23.98612834292876  -0.00000011994577
   3    0   -2       3    0    8       1    1     23.98612834292876  -0.00000012307276
  -3    0    2       7    0    2       1    1     23.98612834292876  -0.00000012307276
  -3    0   -2       7    0    8       1    1     23.98612834292876  -0.00000011994577
   1    4    0       1    4    0       1    1     23.98612888259402   0.00000005593294
   4    1    0       4    1    0       1    1     23.98612888259402   0.00000005691384
  -4   -1    0       6    9    0       1    1     23.98612888259402   0.00000005691384
  -1   -4    0       9    6    0       1    1     23.98612888259402   0.00000005593294
   2    2    4       2    2    4       1    1     24.12061428486028   0.00000538802028
   2    2   -4       2    2    6       1    1     24.12061428486028   0.00000431597264
  -2   -2    4       8    8    4       1    1     24.12061428486028   0.00000431597264
  -2   -2   -4       8    8    6       1    1     24.12061428486028   0.00000538802028
   4    4    2       4    4    2       1    1     24.12061589482922   0.00000503868046
   4    4   -2       4    4    8       1    1     24.12061589482922   0.00000404113770
  -4   -4    2       6    6    2       1    1     24.12061589482922   0.00000404113770
  -4   -4   -2       6    6    8       1    1     24.12061589482922   0.00000503868046
   1    4    1       1    4    1       1    1     24.58504787776329   0.00000000737093
   1    4   -1       1    4    9       1    1     24.58504787776329   0.00000000737599
   4    1    1       4    1    1       1    1     24.58504787776329   0.00000000608397
   4    1   -1       4    1    9       1    1     24.58504787776329   0.00000000610166
  -4   -1    1       6    9    1       1    1     24.58504787776329   0.00000000610166
  -4   -1   -1       6    9    9       1    1     24.58504787776329   0.00000000608397
  -1   -4    1       9    6    1       1    1     24.58504787776329   0.00000000737599
  -1   -4   -1       9    6    9       1    1     24.58504787776329   0.00000000737093
  -5   -4    0       5    6    0       1    1     25.15554011142825   0.00000001093713
  -4   -5    0       6    5    0       1    1     25.15554011142825   0.00000001162861
   1   -1    4       1    9    4       1    1     25.30496481466830   0.00000001673571
   1   -1   -4       1    9    6       1    1     25.30496481466830   0.00000001673719
  -1    1    4       9    1    4       1    1     25.30496481466830   0.00000001673719
  -1    1   -4       9    1    6       1    1     25.30496481466830   0.00000001673571
  -5   -3    0       5    7    0       1    1     25.30496686082485   0.00000006441086
  -3   -5    0       7    5    0       1    1     25.30496686082485   0.00000005520993
   4    3    3       4    3    3       1    1     25.72724911255100  -0.00000006422321
   4    3   -3       4    3    7       1    1     25.72724911255100   0.00000015022976
  -4   -3    3       6    7    3       1    1     25.72724911255100   0.00000015022976
  -4   -3   -3       6    7    7       1    1     25.72724911255100  -0.00000006422321
   3    4    3       3    4    3       1    1     25.72724911255100  -0.00000006649096
   3    4   -3       3    4    7       1    1     25.72724911255100   0.00000014809627
  -3   -4    3       7    6    3       1    1     25.72724911255100   0.00000014809627
